1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.851817408,0.192126616,0.472480424,0.410707521,0.042842864,0.967655899,0.119808546,0.876303136,0.385280584,0.225766814,0.679851361,0.5587688,0.013874492,0.512871112,0.347680616
0.916120564,0.101518808,0.886890629,0.434532411,0.116578842,0.568149676,0.693174147,0.732547514,0.094188411,0.631361762,0.707214809,0.728036435,0.765153737,0.522295739,0.354059582
0.909639473,0.224851516,0.529776998,0.399289915,0.04469922,0.428757112,0.84739485,0.271445693,0.263250186,0.83379851,0.623219311,0.653990316,0.074164634,0.07262728,0.617636598
0.604149671,0.241229044,0.083145346,0.634673119,0.152449713,0.595767159,0.184265505,0.11039882,0.008068111,0.866084473,0.878437545,0.114284873,0.323270027,0.079136997,0.286338564
0.477607814,0.500216952,0.96977158,0.757763335,0.738802339,0.080051118,0.593286189,0.839016546,0.910432497,0.908142062,0.913002788,0.645341843,0.432662419,0.818508139,0.200954314
0.332889473,0.74319531,0.491426503,0.946347451,0.060621826,0.584372975,0.574633053,0.158326948,0.382417701,0.343411151,0.43753071,0.089807452,0.365295263,0.908429844,0.783713177
0.935402278,0.442052985,0.078010112,0.860080281,0.654600648,0.545905806,0.940376328,0.775024101,0.419932138,0.702894302,0.866644118,0.247471342,0.733380901,0.886010433,0.853845745
0.052832149,0.576040154,0.876846799,0.914466156,0.932925792,0.949947219,0.50588165,0.18495458,0.583979521,0.169814624,0.345161427,0.794333055,0.163728265,0.714909775,0.287834857
0.775918095,0.992494801,0.350319604,0.66246546,0.660765154,0.681309355,0.377793453,0.671418149,0.456443908,0.655323592,0.581762414,0.518372324,0.838351879,0.717818413,0.222017442
0.08925033,0.193054004,0.526359416,0.471598039,0.083448162,0.841811098,0.254066845,0.402822465,0.841671022,0.45014999,0.461005861,0.179836233,0.611714706,0.936372102,0.481082008
0.360172585,0.724921846,0.777544501,0.118030924,0.083347687,0.800754637,0.286034957,0.083752201,0.347200949,0.806513647,0.859990168,0.342451607,0.979942291,0.564497073,0.687089133
0.39063645,0.253349531,0.770524549,0.186027453,0.710093828,0.413743566,0.504220196,0.092243548,0.40655,0.358761857,0.05792643,0.725402024,0.763247704,0.596592883,0.209763036
0.501107814,0.131430263,0.497973614,0.691454264,0.784299567,0.77919793,0.079867675,0.562500519,0.510208637,0.311902632,0.700121138,0.049276459,0.831468914,0.923164169,0.088995664
0.8572627,0.561239024,0.793636805,0.973442944,0.027576937,0.127681205,0.536364395,0.592787018,0.502930517,0.610416662,0.449473075,0.670539656,0.061427728,0.244006981,0.875368307
0.897336921,0.5680745,0.071915931,0.22539049,0.415840649,0.721719206,0.627246237,0.040824892,0.938599895,0.373601244,0.933477618,0.140634531,0.837885038,0.346848579,0.052393457
0.029206841,0.142445482,0.014914352,0.428429773,0.596513496,0.629094415,0.423287739,0.29561576,0.35955628,0.535043796,0.258637792,0.031180749,0.390823699,0.990792604,0.278861064
0.680278769,0.246273889,0.247654428,0.100277386,0.063634462,0.676557031,0.188505174,0.686236785,0.678729218,0.397294579,0.476534227,0.556462822,0.754605362,0.586896866,0.228307707
0.888046157,0.34276415,0.560875586,0.030159473,0.400552143,0.346601777,0.144805056,0.389406654,0.917734668,0.170152108,0.143008251,0.382396976,0.953605756,0.9725439,0.667706002
0.999226886,0.444082542,0.687570399,0.937198675,0.525465195,0.384169604,0.566344593,0.810362779,0.156851234,0.240880268,0.229914601,0.151903051,0.693114565,0.877690827,0.105894357
0.833171444,0.753730716,0.656281575,0.155782916,0.526442787,0.390550239,0.370772028,0.146786404,0.833663714,0.436897081,0.176604626,0.982506417,0.96786416,0.832822666,0.595189195
0.565145996,0.587093947,0.709099075,0.899472498,0.088315246,0.21231096,0.466777907,0.956484457,0.285498564,0.78282937,0.505832813,0.498474771,0.213296099,0.038579898,0.823303605
0.892907992,0.576916401,0.596678,0.508407351,0.475027409,0.408227039,0.69596364,0.912739187,0.10775918,0.72617911,0.521389781,0.591087548,0.173611012,0.432659943,0.396003198
0.771751394,0.576134885,0.28004457,0.956931454,0.989978333,0.185043072,0.355002695,0.126716948,0.675828276,0.987809988,0.869807354,0.263358386,0.142391053,0.56807842,0.326679372
0.167854632,0.836357509,0.097547435,0.197732277,0.423105311,0.379947618,0.043612965,0.55130295,0.847130048,0.965082185,0.346295633,0.344925792,0.825819764,0.992034684,0.506345892
0.862479624,0.462007354,0.002620118,0.505337072,0.899200837,0.502804064,0.36499883,0.878611931,0.880045293,0.320403645,0.980740931,0.324803783,0.68745285,0.276547137,0.324670916
